General Information;;;;;;Priority and Status;;Tester;;Additional Information;;Development System;;;Test System via. Transport + Refresh;;;;Test System via. Transport;S4;;ERP;;
27.7;2603;Sales Group ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
28.1;;Shipping Type;Change;;2-Step;High;;Maxi;;;;;;;;;;;;;;;;
28.2;;Shipping Type;Create;;2-Step;High;;Maxi;;;;;;;;;;;;;;;;
28.3;;Shipping Type ;File Download / Upload;;General;High;;Patrick;;;;;;;;;;;;;;;;
28.4;;Shipping Type ;Data Export / Import;;General;High;;Patrick;;;;;;;;;;;;;;;;
28.5;;Shipping Type  ;Language Test;DE/EN;General;Low;;Ulla;;;;;;;;;;;;;;;;
28.6;;Shipping Type  ;Language Test;FR/ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
28.7;;Shipping Type ;Language Test;ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
29.1;2603;Shipping Conditions;Change;;1-Step;High;open;Maxi;;;Intel;;;;;;;;;;;;;
29.2;2603;Shipping Conditions;Create;;1-Step;High;open;Maxi;;;Intel;;;;;;;;;;;;;
29.3;2603;Shipping Conditions ;File Download / Upload;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
29.4;2603;Shipping Conditions ;Data Export / Import;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
29.5;2603;Shipping Conditions  ;Language Test;DE/EN;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
29.6;2603;Shipping Conditions  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
29.7;2603;Shipping Conditions ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
30.1;2603;Laboratory/office;Change;;3-Step;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
30.2;2603;Laboratory/office;Create;;3-Step;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
30.3;2603;Laboratory/office;File Download / Upload;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
30.4;2603;Laboratory/office;Data Export / Import;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
30.5;2603;Laboratory/office;Language Test;DE/EN;General;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
30.6;2603;Laboratory/office;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
30.7;2603;Laboratory/office;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
31.1;;BOM Usage;Change;;3-Step;Low;;Ulla;;;;;;;;;;;;;;;;
